
========================================================================================================================
【파일】 1986_1990_sermon.txt  (총 169편)
========================================================================================================================
날짜                                  | 제목                                                 | 주요     | 보조
N/A (2001년 여름)                      | 사랑하는 자에게 잠을 주시는도다                                  | 기타     | 
2001년 9월 16일 주일설교                   | 두 풍랑                                               | 기타     | 
N/A (2001년 가을)                      | 사망의 음침한 골짜기와 주님                                    | 기타     | 
2001년 10월 7일 성찬주일설교                 | 사랑할 수 있으면 해답이 보인다                                  | 기타     | 
2001년 10월 14일 성찬주일설교                | 엄하신 하나님 아버지의 징계                                    | 기타     | 
N/A (2001년 가을)                      | 시계 제로와 하나님의 비밀                                     | 기타     | 
N/A (2001년 가을)                      | 제3의 새로운 인생                                         | 기타     | 
2001년 11월 18일 주일설교                  | 감사의 영적 의미                                          | 기타     | 
2001년 11월 25일 주일설교                  | 사랑에 대한 이야기                                         | 기타     | 
N/A (2001년 말)                       | 강도 만난 자의 이웃                                        | 기타     | 
N/A (2001년 말)                       | 인생은 고난을 위하여 태어났다                                   | 기타     | 
N/A (2001년 말)                       | 질그릇 안에 있는 보배                                       | 기타     | 
N/A (2001년 말)                       | 네 길을 야웨께 맡겨 버려라                                    | 기타     | 
2002년 1월 6일 성찬주일                    | 새해를 맞이하는 마음의 준비                                    | 생각     | 
2002년 1월 13일 주일                     | 플러스 인생과 마이너스 인생                                    | 생각     | 
2002년 1월 20일                        | 영적전쟁                                               | 기타     | 
2002년 1월 27일                        | 두려움                                                | 기타     | 
2002년 2월 3일 성찬주일                    | 하나님은 참으로 사랑이신가?                                    | 기타     | 
2002년 2월 10일                        | 배우고 확신한 일에 거하라                                     | 믿음     | 
2002년 2월 24일 주일                     | 그 모든 은택을 잊지 말지어다                                   | 기타     | 
2002년 3월 3일 주일                      | 유라굴로라는 폭풍                                          | 기타     | 
2002년 3월 10일 주일                     | 기다림                                                | 기타     | 
2002년 3월 24일 주일설교                   | 바라바                                                | 기타     | 
2002년 3월 31일                        | 열린 무덤의 문                                           | 기타     | 
2002년 4월 7일 주일                      | 보혈의 능력                                             | 기타     | 
2002년 4월 14일 주일                     | 포도나무와 가지                                           | 기타     | 
2002년 4월 21일 주일                     | 기도와 낙심                                             | 기타     | 
2002년 4월 28일 주일                     | 치료받는 것은 하나님의 뜻이다                                   | 기타     | 
2002년 5월 12일 주일                     | 십자가에서 일어난 우주적 사건                                   | 기타     | 
2002년 5월 19일 주일                     | 다른 보혜사                                             | 기타     | 
2002년 5월 26일                        | 에벤에셀                                               | 기타     | 
2002년 6월 9일 주일설교                    | 너희 하나님을 시험치 말라                                     | 기타     | 
2002년 6월 16일 주일설교                   | 하나님을 섬기는 예절                                        | 기타     | 
2002년 6월 23일 주일설교                   | 푯대를 항하여 좇아가라                                       | 꿈      | 
2002년 6월 30일 주일예배                   | 심고 거두세요                                            | 기타     | 
2002년 7월 7일 주일                      | 하나님의 은혜를 헛되이 받지 말라                                 | 기타     | 
2002년 7월 14일 주일                     | 참과 거짓                                              | 기타     | 
2002년 7월 21일 주일                     | 내가 잘못했어요                                           | 기타     | 
2002년 7월 28일 주일설교                   | 그 은혜를 인하여 믿음으로 말미암아                                | 믿음     | 
N/A (2002년 여름)                      | 지렁이 같은 너 야곱아                                       | 기타     | 
2002년 8월 18일 주일설교                   | 수 문 장                                              | 기타     | 
2002년 8월 25일 주일설교                   | 목마른 자는 내게로 와서 마셔라                                  | 기타     | 
2002년 9월 1일 주일설교                    | 용 서                                                | 기타     | 
2002년 9월 15일 주일설교                   | 예수님의 최고의 관심사                                       | 기타     | 
N/A (2002년 가을)                      | 일곱 원수를 쫓아내라                                        | 기타     | 
2002년 9월 29일 주일설교                   | 가시와 은혜                                             | 기타     | 
2002년 10월 6일 주일설교                   | 하나님의 생각과 우리의 생각, 하나님의 길과 우리의 길                     | 생각     | 
2002년 10월 13일 주일설교                  | 이 사람은 과실을 많이 맺나니                                   | 기타     | 
2002년 10월 20일 주일설교                  | 사람이 거듭나지 아니하면                                      | 기타     | 
2002년 10월 27일 주일설교                  | 참 참 좋으신 하나님                                        | 기타     | 
2002년 11월 3일 주일2부설교                 | 나라이 임하옵소서                                          | 꿈      | 
2002년 11월 10일 주일2부설교                | 뜻이 하늘에서 이룬 것같이 땅에서도 이루어지이다                         | 꿈      | 
2002년 11월 24일 주일2부설교                | 시험에 들게 하지 마옵시고 다만 악에서 구하옵소서                        | 기타     | 
2002년 12월 1일 주일2부설교                 | 아! 십자가                                             | 기타     | 
2002년 12월 9일 주일2부설교                 | 삶과 불안                                              | 기타     | 
2002년 12월 15일 주일2부예배                | 주어진 삶과 만들어가는 삶                                     | 기타     | 
2002년 12월 22일 주일2부설교                | 아브라함의 신앙                                           | 믿음     | 꿈
2002년 12월 29일 주일2부설교                | 영광은 환난이 피우는 꽃이다                                    | 기타     | 
2003년 1월 5일 주일2부설교                  | 삶의 우선 순위를 정하라                                      | 기타     | 
2003년 1월 12일 주일2부설교                 | 행복에 이르는 여덟가지 복 (Ⅰ)                                 | 기타     | 
2003년 1월 19일 주일2부설교                 | 행복에 이르는 여덟가지 복 (Ⅱ)                                 | 기타     | 
2003년 1월 26일 주일2부설교                 | 예수님의 치료의 은혜                                        | 기타     | 
2003년 2월 2일 주일설교                    | 성공적인 대인관계를 위하여                                     | 기타     | 
2003년 2월 9일 주일설교                    | 용서와 화해                                             | 기타     | 
